NAME OF DELIVERY POST OFFICE,POST CODE,ACCOUNT OFFICE,PROVINCE,POST CODE OF ATTACHED BRANCH OFFICE 
THANA,23000,Batkhela HPO,KPK,23001
THANA BULA KHAN,76050,Hyderabad GPO,Sindh,76051
THANDAYANI ,22150,Abbottabad GPO,KPK,22151
THANIAL FATOHI,48802,Chakwal GPO,Punjab,48803
THANIL KAMAL,48780,Chakwal GPO,Punjab,48781
THARA,10544,Mirpur GPO,Azad Kashmir,10545
THARMAL POWER STATION MUZAFFARGARH ,34114,Muzaffargarh GPO,Punjab,34115
THARU SHAH,67080,Nawabshah GPO,Sindh,67081
THARYATI,22220,Abbottabad GPO,KPK,22221
THATHA SADIQABAD,58210,Khanewal GPO,Punjab,58211
THATHI,47940,Gujar Khan GPO,Punjab,47941
THATTA,43130,Attock GPO,Punjab,43131
THATTA,73130,Hyderabad GPO,Sindh,73131
THATTI NASRATI,27400,Karak GPO,KPK,27401
THEHRI,66160,Khairpur GPO ,Sindh,66161
THEKHERIAN,47800,Gujar Khan GPO,Punjab,47801
THERMAL POWER STATION,76064,Hyderabad GPO,Sindh,76065
THJKRI WALA,37520,Faisalabad GPO,Punjab,37521
THOA BAHADUR,48650,Chakwal GPO,Punjab,48651
THOHA KHALSA,47380,Rawalpindi GPO,Punjab,47381
THOHA MEHRAM KHAN,48270,Talagang GPO,Punjab,48271
THORAR,12310,Rawalakot GPO,Azad Kashmir,12311
THOWAR,16160,Skardu HPO,Northern Area,16161
THRACHANI,65168,Sukkur GPO,Sindh,65169
THUL,79100,Jacobabad GPO,Sindh,79101
THULL CITY,26270,Kohat GPO,KPK,26271
THULL FORT,26260,Kohat GPO,KPK,26261
THUTHA RAI BAHADAR,50180,Gujrat GPO,Punjab,50181
TIBA SULTANPUR,61170,Vehari GPO,Punjab,61171
TIBBA NAINAM WALA,30130,Bhakkar GPO,Punjab,30131
TIBBI QAISRANI,32030,Dera Ghazi Khan GPO,Punjab,32031
TIMARGARA,18300,Batkhela HPO,KPK,18301
TIMBER MARKET,54120,Lahore GPO,Punjab,54121
TITER KHEL,28364,Bannu GPO,KPK,28365
TOBA CAMP,22060,Abbottabad GPO,KPK,22061
TOBA TAKE SINGH GPO,36050,T.T Singh GPO,Punjab,36051
TOBAH,49030,Jhelum GPO,Punjab,49031
TOGH BALA,26010,Kohat GPO,KPK,26011
TOGH SARAI,26200,Kohat GPO,KPK,26201
TOLA BANGI KHEL,42380,Mianwali GPO,Punjab ,42381
TOLTI,16450,Skardu HPO,Northern Area,16451
TOOR,49712,Jhelum GPO,Punjab,49713
TOPI,23460,Sawabi GPO,KPK,23461
TOR WARSAK,19270,Mardan GPO,KPK,19271
TORDHER,23610,Sawabi GPO,KPK,23611
TORKA,28040,Bannu GPO,KPK,28041
TORU,23300,Mardan GPO,KPK,23301
TOTAKAN,23030,Batkhela HPO,KPK,23031
TOTLAI,23434,Sawabi GPO,KPK,23435
TOWLER VILLAGE NOORIABAD,73094,Hyderabad GPO,Sindh,73095
TOWNSHIP SECTOR A-1 LAHORE,54770,Lahore Cantt GPO,Punjab,54771
TRAG,42420,Mianwali GPO,Punjab,42421
TRAP,48000,Attock GPO,Punjab,48001
TRET,47100,Murree GPO,Punjab,47101
TRINDA MUHAMMAD PANAH,64030,Rahimyar Khan GPO,Punjab,64031
TUMP,92300,Turbat GPO,Balochistan,92301
TUNIA BAGA SHAH,67034,Nawabshah GPO,Sindh ,67035
TURBAT G.P.O.,92600,Turbat GPO,Balochistan,92601
UBAURO,65030,Sukkur GPO,Sindh,65031
UCH SHARIF,63410,Bahawalpur GPO,Punjab,63411
UCHHALI,41150,Khushab GPO,Punjab,41151
UDHOWAL,47580,Rawalpindi GPO,Punjab,47581
UGALI,41104,Khushab GPO,Punjab,41105
UGOKE,51050,Sialkot GPO,Punjab,51051
UMAR KOT,69100,Mirpur Khas GPO,Sindh,69101
UMARABAD,23154,Mardan GPO,KPK,23155
UMARZAI,24510,Charsadda GPO,KPK,24511
UMERABAD GIDDER,88410,Khuzdar GPO,Balochistan,88411
UNIVERSITY NEW CAMPUS JAMSHORO,76080,Hyderabad GPO,Sindh,76081
UPPER SUDDAN GALI,12504,Bagh GPO,Azad Kashmir,12505
UPPER TOPA,47210,Murree GPO,Punjab,47211
URMAR PAYAN,24300,Nowshera GPO,KPK,24301
USMAN KHATTER,47060,Rawalpindi GPO,Punjab,47061
USMAN WALA,55010,Kasur GPO,Punjab,55011
USTA MUHAMMAD,80300,Sibi GPO,Balochistan,80301
USTER ZAI PAYAN,26170,Kohat GPO,KPK,26171
UTHAL,90150,Khuzdar GPO,Balochistan,90151
UTMANZAI,24500,Charsadda GPO,KPK,24501
UTTIAN,40360,Sargodha GPO,Punjab,40361
VANIA WALA,52404,Gujranwala GPO,Punjab,52405
VEHARI GPO,61100,Vehari GPO,Punjab,61101
VEHARI PEOPLES COLONY,61120,Vehari GPO,Punjab,61121
VEHOA,32010,Dera Ghazi Khan GPO,Punjab,32011
VUR,73170,Hyderabad GPO,Sindh,73171
WADALA SANDHUAN,51510,Sialkot GPO,Punjab,51511
WADH,89250,Khuzdar GPO,Balochistan,89251
WAGGAN,77230,Larkana GPO,Sindh,77231
WAGH,49130,Jhelum GPO,Punjab,49131
WAGHA,53600,Lahore Cantt GPO,Punjab,53601
WAH,47000,Wah Cantt. GPO,Punjab,47001
WAH CANTT. G.P.O.,47040,Wah Cantt. GPO,Punjab,47041
WAH CEMENT WORKS,47020,Wah Cantt. GPO,Punjab,47021
WAH WEST PARK,47046,Wah Cantt. GPO,Punjab,47047
WAHALIZER,48322,Chakwal GPO,Punjab,48323
WAHDAT COLONY,52254,Gujranwala GPO,Punjab,52255
WAHULA,48350,Chakwal GPO,Punjab,48351
WAISA,43510,Attock GPO,Punjab,43511
WAN BHACHRAN,42100,Mianwali GPO,Punjab,42101
WAN RADHA RAM,55360,Kasur GPO,Punjab,55361
WANA,29540,Tank GPO,KPK,29541
WANDA KHAN MUHAMMAD,29010,Dera Ismail Khan GPO,KPK,29011
WANDO,52464,Gujranwala GPO,Punjab,52465
WANHAR,48160,Talagang GPO,Punjab,48161
WANIAWALA,52404,Gujranwala GPO,Punjab,52405
WANIKE TARAR,52104,Gujranwala GPO,Punjab,52105
WAPDA RESIDENCY COLONY LAKHRA,73260,Hyderabad GPO,Sindh,73261
WAPDA SCARP COLONY,64300,Rahimyar Khan GPO,Punjab,64301
WAPDA TOWN ,52132,Gujranwala GPO,Punjab,52133
WARAH,77040,Larkana GPO,Sindh,77041
WARANA,27810,Karak GPO,KPK,27811
WARBURTON,39180,Qila Sheikhupura GPO,Punjab,39181
WARCHHA MANDI,41330,Khushab GPO,Punjab,41331
WARI,18200,Batkhela HPO,KPK,18201
WARSAK COLONY,24680,Peshawar GPO,KPK,24681
WARYAM,35100,Jhang GPO,Punjab,35101
WASNAL,48582,Chakwal GPO,Punjab,48583
WATALA,10010,Bhimber GPO,Azad Kashmir,10011
WAZIRABAD,52000,Gujranwala GPO,Punjab,52001
WIJH,40110,Sargodha GPO,Punjab,40111
YAKA TOOT,25200,Peshawar GPO,KPK,25201
YAR HUSSAIN,23320,Sawabi GPO,KPK,23321
YARIK,29020,Dera Ismail Khan GPO,KPK,29021
YASIN,15310,Gilgit GPO,Northern Area,15311
YASIN KALAN,43422,Attock GPO,Punjab,43423
YAZMAN,63210,Bahawalpur GPO,Punjab,63211
YOUSAF SHAH,30046,Bhakkar GPO,Punjab,30047
ZAFAR WAL,51670,Narowal GPO,Punjab,51671
ZAHIR PEER,64130,Rahimyar Khan GPO,Punjab,64131
ZAIDA,23540,Sawabi GPO,KPK,23541
ZAIMDARA,18450,Batkhela HPO,KPK,18451
ZAMAMA,52240,Gujranwala GPO,Punjab,52241
ZARA KHELA,19250,Saidu Sharif GPO,KPK,19251
ZARA MIANA,24044,Nowshera GPO,KPK,24045
ZARGERI,26210,Kohat GPO,KPK,26211
ZAROBI,23510,Sawabi GPO,KPK,23511
ZEHRI ,88450,Khuzdar GPO,Balochistan,88451
ZHOB,85200,Loralai GPO,Balochistan,85201
ZIARAT,96000,Quetta GPO,Balochistan,96001
ZIARAT (DIR),18700,Batkhela HPO,KPK,18701
ZIARAT KAKA SAHIB,24130,Nowshera GPO,KPK,24131
